KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,10M,20M,30M,40M,50M,80M+,100M+,125M+,150M+,200M+,250M+,300M+
108,KoA,"2,772,733,624","8,476,488",0.31%,"3,363,269,337","26,269,375","4,040,124,426",39,"63,338,056",0,0,0,0,0,9,4,2,0,0,0,0
109,-VP-,"3,814,071,864","61,989,840",1.63%,"4,861,625,158","49,494,230","7,128,323,031",64,"57,324,120",2,0,0,0,0,10,8,2,0,0,0,0
110,RoQ,"22,489,640,673","2,554,978,381",11.36%,"88,563,313,784","330,022,273","80,072,548,311",172,"131,596,468",127,37,10,4,1,161,156,93,40,12,4,0
111,DEA,"12,823,079,450","833,769,199",6.50%,"43,120,442,027","199,993,960","39,690,622,107",157,"81,696,944",33,5,2,0,0,83,55,20,6,1,0,0
112,#BD,"12,858,407,925","1,849,412,243",14.38%,"26,748,843,901","204,832,299","35,683,415,813",169,"76,190,309",80,24,7,2,0,79,35,8,1,0,0,0
113,,"1,302,582,586","24,708,958",1.90%,"1,882,955,555","15,509,952","2,968,079,237",19,"64,919,548",1,0,0,0,0,5,2,0,0,0,0,0
114,MELL,"7,332,428,356","277,376,589",3.78%,"6,774,716,201","96,896,811","12,372,275,085",124,"55,883,652",11,2,1,0,0,23,11,2,0,0,0,0
115,BeK,"12,967,425,107","1,895,275,332",14.62%,"47,564,883,653","208,340,267","46,664,397,398",119,"108,485,435",85,32,9,5,2,109,83,16,4,0,0,0
117,SHWA,"3,946,741,135","92,235,277",2.34%,"2,866,665,437","42,685,172","6,589,795,993",62,"58,541,517",3,0,0,0,0,11,5,1,0,0,0,0
118,GEX-,"11,244,052,190","978,438,993",8.70%,"32,344,971,052","181,097,151","37,778,923,651",130,"85,749,603",50,6,2,0,0,85,63,14,4,0,0,0
119,L~AW,"1,698,251,963","37,530,978",2.21%,"2,420,535,620","15,455,751","3,663,220,777",22,"72,913,100",1,0,0,0,0,12,7,1,0,0,0,0
120,UNIX,"3,316,084,705","131,551,374",3.97%,"6,003,369,283","48,706,165","7,895,720,516",41,"77,148,234",3,2,1,0,0,19,11,4,2,0,0,0
121,BbF,"6,074,998,998","157,218,178",2.59%,"7,615,553,122","87,245,417","12,876,806,495",104,"55,886,885",3,0,0,0,0,16,7,2,0,0,0,0
122,dom,"5,507,259,830","91,438,772",1.66%,"4,929,662,192","44,233,843","9,488,640,924",82,"59,636,417",0,0,0,0,0,13,4,0,0,0,0,0
123,GOR3,"4,143,107,250","85,191,438",2.06%,"2,054,136,391","41,796,482","5,899,514,290",68,"56,073,530",0,0,0,0,0,13,5,1,0,0,0,0
124,Que,"3,576,842,535","249,056,925",6.96%,"4,483,984,579","40,955,615","6,577,199,473",64,"50,860,234",10,2,1,1,1,11,5,1,0,0,0,0
125,"T,B","3,278,942,989","27,127,759",0.83%,"1,926,374,268","25,873,094","4,097,872,047",62,"48,688,162",0,0,0,0,0,3,1,0,0,0,0,0
126,T-HS,"5,570,900,347","462,573,200",8.30%,"9,852,264,366","80,657,583","16,703,139,356",78,"70,114,255",17,2,0,0,0,30,7,0,0,0,0,0
127,TFT#,"11,386,237,063","795,346,665",6.99%,"46,156,181,549","223,000,927","40,052,388,634",120,"95,341,123",25,4,1,0,0,88,65,23,6,0,0,0
128,,"2,597,279,746","13,336,737",0.51%,"1,304,009,869","31,787,482","3,596,100,683",52,"44,434,073",0,0,0,0,0,2,0,0,0,0,0,0
129,T-SG,"7,036,382,820","210,924,878",3.00%,"13,497,749,209","96,962,786","17,795,095,567",94,"72,023,823",4,4,0,0,0,32,18,6,2,0,0,0
130,CORN,"2,650,336,462","20,260,785",0.76%,"1,749,942,884","17,154,840","3,548,037,153",47,"51,542,980",0,0,0,0,0,5,1,1,0,0,0,0
131,URTU,"9,816,883,961","250,795,071",2.55%,"6,560,570,644","74,716,884","14,871,835,496",158,"57,416,392",4,1,0,0,0,29,9,0,0,0,0,0
132,FG-3,"8,384,249,373","329,992,632",3.94%,"15,447,680,064","101,906,903","18,603,566,763",124,"63,630,376",10,4,0,0,0,35,16,5,1,1,1,0
133,S-K,"4,740,123,072","176,389,143",3.72%,"5,141,460,406","64,316,992","8,995,796,171",66,"65,502,451",6,1,0,0,0,17,10,2,0,0,0,0
134,,"1,180,118,870","31,917,379",2.70%,"1,537,040,066","6,052,126","2,002,460,488",16,"69,680,524",1,0,0,0,0,4,3,1,0,0,0,0
135,S135,"3,138,833,626","73,784,891",2.35%,"5,266,593,833","27,280,025","5,987,552,442",45,"64,534,178",3,0,0,0,0,11,6,2,1,0,0,0
136,X_x,"6,153,936,882","837,528,512",13.61%,"23,216,860,458","104,943,037","19,493,895,489",58,"104,085,406",28,15,6,4,2,40,35,15,9,5,0,0
137,UFC',"5,394,009,641","637,155,333",11.81%,"10,536,082,600","89,782,262","12,917,391,839",81,"65,025,970",23,10,5,2,1,24,14,2,0,0,0,0
138,S138,"8,264,196,368","138,954,970",1.68%,"6,854,303,433","77,501,336","10,468,780,261",159,"45,896,421",2,1,1,0,0,15,11,3,1,0,0,0
139,GtA,"1,630,294,668","30,145,990",1.85%,"1,656,764,572","13,336,421","2,495,400,035",26,"55,002,245",1,0,0,0,0,3,3,1,0,0,0,0
140,LAST,"18,946,322,785","2,691,173,598",14.20%,"60,279,986,772","262,370,790","64,365,777,108",198,"95,880,925",121,40,10,4,1,140,106,24,8,3,1,0
141,DRH,"8,463,942,175","414,206,566",4.89%,"6,919,870,435","102,208,754","15,400,583,492",131,"58,998,283",9,3,1,0,0,24,7,0,0,0,0,0
142,xVx,"3,494,644,024","205,417,045",5.88%,"3,946,327,052","47,498,082","6,745,174,354",64,"51,633,699",7,3,1,0,0,6,2,0,0,0,0,0
143,C2P,"7,281,002,943","206,112,979",2.83%,"9,230,462,209","85,969,610","15,212,584,275",115,"59,781,527",8,0,0,0,0,32,19,3,0,0,0,0
144,-TC-,"3,336,991,793","184,518,482",5.53%,"11,683,484,706","65,828,589","10,090,592,220",31,"105,661,366",9,0,0,0,0,25,19,9,3,0,0,0
145,CKB,"17,059,641,391","2,920,699,767",17.12%,"75,696,157,451","315,617,528","66,498,749,312",155,"111,885,163",120,73,23,11,5,120,109,63,25,9,4,1
146,~PB~,"8,745,694,072","957,272,225",10.95%,"22,528,588,384","75,037,092","23,372,264,349",98,"88,348,262",35,13,2,1,0,68,41,8,1,0,0,0
147,,"1,334,892,080",,0.00%,"2,038,894,792","8,179,156","2,189,522,382",17,"76,538,891",0,0,0,0,0,10,4,0,0,0,0,0
148,DTF,"13,184,659,045","2,182,819,817",16.56%,"61,629,507,154","265,305,850","47,104,142,700",98,"134,812,863",91,45,20,8,6,94,87,52,30,5,2,1
149,:AO:,"7,136,164,085","491,197,513",6.88%,"9,097,991,223","85,054,648","15,340,452,633",92,"75,115,170",16,4,1,1,0,42,17,3,0,0,0,0
150,VoD,"10,493,617,138","660,048,412",6.29%,"26,485,684,995","170,668,974","30,687,390,527",139,"72,817,913",18,4,2,1,1,58,31,4,1,1,1,0
151,RGU-,"2,577,313,451","120,200,341",4.66%,"3,636,500,500","39,874,974","6,206,492,142",44,"51,665,240",3,1,1,0,0,5,4,0,0,0,0,0
152,INFT,"9,310,944,600","917,513,479",9.85%,"25,839,143,053","166,961,040","29,382,823,607",109,"84,579,205",40,14,0,0,0,63,40,10,2,0,0,0
153,SNIX,"3,561,585,051","76,857,085",2.16%,"6,621,365,941","41,766,589","8,378,090,675",52,"67,044,426",3,0,0,0,0,17,12,3,1,0,0,0
154,NOVA,"8,205,508,708","260,881,717",3.18%,"4,711,669,292","107,244,719","12,027,422,157",136,"55,318,272",5,0,0,0,0,18,9,2,0,0,0,0
156,B&R,"11,453,063,881","1,509,932,871",13.18%,"47,291,611,863","219,978,122","43,403,627,822",103,"112,466,099",71,26,11,2,1,85,78,39,16,3,1,0
157,CFNC,"10,160,931,461","2,186,920,780",21.52%,"53,650,518,745","202,578,652","34,246,688,980",75,"131,290,612",65,49,25,14,9,70,64,35,21,5,2,0
158,D&M,"1,602,214,877","24,981,309",1.56%,"1,780,275,019","14,497,520","3,006,767,625",23,"61,487,242",1,0,0,0,0,5,4,0,0,0,0,0
159,RGD',"5,902,135,136","248,302,024",4.21%,"8,059,825,670","96,359,794","12,562,952,178",93,"57,926,928",6,0,0,0,0,24,9,0,0,0,0,0
160,WoY,"4,594,333,515","645,357,975",14.05%,"10,012,123,783","79,608,481","12,764,521,153",67,"64,558,072",21,9,3,1,0,17,8,3,0,0,0,0
161,GD-W,"3,036,585,567","311,246,321",10.25%,"8,047,445,958","55,586,855","9,340,040,145",50,"60,889,566",16,1,1,0,0,17,11,1,0,0,0,0
162,~LOC,"2,627,158,721","53,249,894",2.03%,"1,959,138,187","26,948,182","3,986,480,667",46,"53,294,285",1,0,0,0,0,3,3,1,0,0,0,0
163,DYL,"17,931,524,232","1,078,871,224",6.02%,"56,116,467,797","247,295,904","54,769,560,092",199,"88,837,959",35,8,3,1,1,121,90,39,15,2,0,0
