KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,60-80M,80-100M,100-125M,125-150M,150-200M,200M+,#1 Ally,Total KD Power,CH16,Lords,CH16 AP,Lords AP,CH16 KvK,CH25 KvK,Allies,Ally Lords,Unique Alliances in KD,1B+ Power,1B+ Ally Tags,Top 600 Power,Top 600 Merits,Top 600 Kills,Top 600 Heals,Top 600 Deads,10-20M,20-40M,40-60M,40-60M
39,MoD,4308048229,53171880,1.23%,5703009554,33292664,7575062465,66,59895284,14,10,4,1,0,0,"4,131,052,318","4,784,728,284",160,171,"29,857,646","27,980,867",103,57,4,139,MoD,"4,131,052,318",MoD,"4,308,048,229","53,171,880","5,703,009,554","7,575,062,465","33,292,664",29,20,21,6
40,TFS,27016713553,3840198307,14.21%,108149151764,427104798,72922248165,244,112055516,0,9,74,51,41,13,"24,988,578,672","31,258,677,581",958,"1,091","32,612,121","28,651,400",5,0,18,999,"TFS,TFS3,nfs","27,275,731,760","TFS,TFS3,nfs","27,016,713,553","3,840,198,307","108,149,151,764","72,922,248,165","427,104,798",158,12,1,0
41,BD-O,9399342401,868854535,9.24%,28659137364,149252265,24146367081,100,95367538,2,16,40,17,4,1,"7,780,502,976","10,493,814,373",395,606,"26,416,058","17,316,525",0,0,20,345,BD-O,"7,780,502,976",BD-O,"9,399,342,401","868,854,535","28,659,137,364","24,146,367,081","149,252,265",35,7,2,1
42,RITE,1833124720,28230989,1.54%,1386272377,12664382,1875485783,36,47247379,2,2,0,0,0,1,"1,448,045,265","2,085,386,143",82,99,"25,292,374","21,064,506",24,12,6,71,RITE,"1,448,045,265",RITE,"1,833,124,720","28,230,989","1,386,272,377","1,875,485,783","12,664,382",11,25,10,32
43,DnD!,10812762038,507215534,4.69%,14311282817,113765066,22075112394,151,70013653,47,25,23,3,0,0,"9,883,344,041","11,497,865,098",264,279,"43,528,432","41,210,986",0,0,8,244,DnD!,"9,883,344,041",DnD!,"10,812,762,038","507,215,534","14,311,282,817","22,075,112,394","113,765,066",29,23,32,0
44,DAU,10778058754,961213859,8.92%,17018114638,132107017,24052968400,166,62407349,43,32,6,2,0,0,"9,827,076,279","11,536,334,462",292,407,"39,384,121","28,344,802",0,0,9,361,DAU,"9,827,076,279",DAU,"10,778,058,754","961,213,859","17,018,114,638","24,052,968,400","132,107,017",35,35,58,0
45,~~BB,14623168943,609443620,4.17%,19654961844,151872272,32779517798,200,71594566,64,57,22,0,0,0,"10,662,763,136","15,173,264,438",310,320,"48,928,049","47,416,451",0,0,11,249,~~BB,"10,662,763,136",~~BB,"14,623,168,943","609,443,620","19,654,961,844","32,779,517,798","151,872,272",27,29,34,0
46,GUNZ,2193860267,3134407,0.14%,1139473382,14233322,2291382147,40,45166621,7,1,0,0,0,0,"1,658,497,761","2,472,477,230",107,120,"23,041,786","20,603,977",18,9,11,97,GUNZ,"1,658,497,761",GUNZ,"2,193,860,267","3,134,407","1,139,473,382","2,291,382,147","14,233,322",20,20,17,29
47,-FU,13028472163,1093225462,8.39%,25106695548,154589432,29433629472,178,71861702,48,36,24,2,4,0,"11,143,814,844","13,975,145,643",374,413,"37,336,476","33,838,125",0,0,11,368,-FU,"11,143,814,844",-FU,"13,028,472,163","1,093,225,462","25,106,695,548","29,433,629,472","154,589,432",45,28,36,0
48,MCU,5281149470,169660343,3.21%,4527547840,52968101,7700150097,83,60465932,12,13,8,1,0,0,"4,498,823,962","5,647,334,060",157,166,"35,917,385","34,020,085",0,0,8,129,MCU,"4,498,823,962",MCU,"5,281,149,470","169,660,343","4,527,547,840","7,700,150,097","52,968,101",28,16,32,5
49,NTS,20595518484,3031568915,14.72%,77040507611,252415520,52552757274,196,106604071,3,26,74,35,15,9,"19,083,585,271","23,539,574,202",582,610,"40,427,980","38,589,466",0,0,13,555,"NTS,NTA,NTW","22,058,932,512","NTS,NTA,NTW","20,595,518,484","3,031,568,915","77,040,507,611","52,552,757,274","252,415,520",127,5,1,0
50,50W,3754079162,29983366,0.80%,3609921025,30037608,5031008175,68,51306875,9,5,3,1,0,0,"3,328,366,062","3,916,158,767",108,116,"36,237,077","33,759,989",45,38,4,94,50W,"3,328,366,062",50W,"3,754,079,162","29,983,366","3,609,921,025","5,031,008,175","30,037,608",15,27,25,1
51,R4GE,5070088875,81232380,1.60%,6945648595,49494126,8714692251,80,59329159,16,9,7,0,0,0,"4,867,490,257","5,438,487,614",149,162,"36,442,888","33,570,911",100,70,6,145,R4GE,"4,867,490,257",R4GE,"5,070,088,875","81,232,380","6,945,648,595","8,714,692,251","49,494,126",16,24,31,55
52,Grey,13032138989,135309640,1.04%,19635696734,116498134,26192747245,192,65606617,43,34,23,0,2,0,"10,539,946,607","13,691,118,339",317,333,"43,166,586","41,114,469",236,166,9,284,"Grey,GryA","12,703,800,238","Grey,GryA","13,032,138,989","135,309,640","19,635,696,734","26,192,747,245","116,498,134",34,49,50,0
53,Re:M,1825071408,1260363,0.07%,466147125,17486534,1798547294,35,44295377,3,2,0,0,0,0,"1,640,639,301","2,108,206,921",86,96,"24,442,635","21,960,489",40,21,8,69,Re:M,"1,640,639,301",Re:M,"1,825,071,408","1,260,363","466,147,125","1,798,547,294","17,486,534",15,22,15,65
54,:54:,4236155553,150682936,3.56%,4324319558,39436033,5707089370,71,55023201,12,6,6,0,0,0,"3,690,112,297","4,501,040,211",125,130,"35,969,298","34,623,386",0,0,5,106,:54:,"3,690,112,297",:54:,"4,236,155,553","150,682,936","4,324,319,558","5,707,089,370","39,436,033",14,30,26,2
55,~GF~,5589025700,123039833,2.20%,5220318328,56414793,9131011491,84,62179938,22,10,8,1,0,0,"4,630,783,074","5,953,441,053",160,175,"37,145,295","34,019,663",0,0,6,137,~GF~,"4,630,783,074",~GF~,"5,589,025,700","123,039,833","5,220,318,328","9,131,011,491","56,414,793",24,25,25,0
56,K-56,4853709599,84451214,1.74%,4531569726,38288633,6623863408,69,67136751,13,14,7,2,0,0,"3,667,397,553","5,066,936,767",114,122,"44,394,586","41,532,269",55,43,12,94,K-56,"3,667,397,553",K-56,"4,853,709,599","84,451,214","4,531,569,726","6,623,863,408","38,288,633",7,19,22,7
57,NF57,21688789973,2631276149,12.13%,69637679640,231871079,58048304260,199,108490899,11,37,94,26,11,5,"20,352,918,468","24,146,810,808",612,699,"39,403,869","34,544,794",4,1,14,616,NF57,"20,352,918,468",NF57,"21,688,789,973","2,631,276,149","69,637,679,640","58,048,304,260","231,871,079",94,11,4,1
58,DUSK,2348432481,40749018,1.74%,1461919308,15385912,2191797017,43,52842006,6,5,2,1,0,0,"2,374,127,604","2,611,223,162",87,96,"29,955,457","27,200,241",0,0,6,73,DUSK,"2,374,127,604",DUSK,"2,348,432,481","40,749,018","1,461,919,308","2,191,797,017","15,385,912",16,13,15,16
59,Meep,1869001720,2295281,0.12%,985563484,14879731,1964582143,28,57164537,8,4,2,0,0,0,"1,801,898,655","2,090,874,404",78,88,"26,722,461","23,759,936",22,14,3,71,Meep,"1,801,898,655",Meep,"1,869,001,720","2,295,281","985,563,484","1,964,582,143","14,879,731",15,13,4,24
